metabolite_id,index
M_colipa_e,407
M_hxcoa_c,689
M_2agpg140_c,82
M_cu2_e,428
M_iscssh_c,711
M_12dgr161_c,9
M_glc_DASH_D_c,589
M_kphphhlipa_c,728
M_metsox_DASH_R_DASH_L_c,777
M_2amsa_c,95
M_cdp_c,369
M_2tdecg3p_p,138
M_ade_c,270
M_arg_DASH_L_p,335
M_acgam_c,258
M_anth_c,321
M_pe140_p,893
M_thr_DASH_L_e,1062
M_nh4_p,832
M_dmpp_c,479
M_anhgm_c,315
M_hxan_c,686
M_ps140_c,973
M_uacmamu_c,1103
M_3hdecACP_c,157
M_thmmp_c,1059
M_leu_DASH_L_c,739
M_dcamp_c,448
M_dtdprmn_c,492
M_asn_DASH_L_p,339
M_citr_DASH_L_c,384
M_man1p_c,766
M_thym_e,1065
M_udp_c,1115
M_dtdp4aaddg_c,486
M_nicrnt_c,836
M_pmeACP_c,948
M_tre_c,1077
M_stcoa_c,1028
M_1odecg3p_p,49
M_ttrcyc_e,1088
M_sucbz_c,1030
M_2hdec9eg3p_p,111
M_murein4px4p_p,812
M_alaala_c,299
M_cdpdtdecg_c,376
M_cl_e,387
M_leu_DASH_L_p,741
M_adn_e,274
M_1odecg3p_c,48
M_duri_c,497
M_23dhbzs_c,58
M_hdceap_c,661
M_pdx5p_c,889
M_2agpg180_c,90
M_paps_c,888
M_xan_e,1144
M_ps180_c,977
M_ggagicolipa_c,584
M_tdeACP_c,1053
M_leu_DASH_L_e,740
M_orn_c,863
M_fad_c,521
M_25drapp_c,63
M_r15bp_c,997
M_lald_DASH_D_c,735
M_od2coa_c,858
M_glyald_p,611
M_pro_DASH_L_e,969
M_12dgr181_c,13
M_4mpetz_c,208
M_urea_c,1133
M_mmcoa_DASH_S_c,786
M_gdpmann_c,581
M_atp_c,345
M_glu5sa_c,598
M_glu_DASH_L_p,602
M_bmocogdp_c,350
M_3ocpalm9eACP_c,176
M_anhm3p_c,318
M_acser_c,265
M_cpgn_DASH_un_p,413
M_melib_p,771
M_imp_c,702
M_3hoctACP_c,163
M_g3pe_p,570
M_feenter_p,544
M_pa120_p,871
M_quin_e,994
M_arg_DASH_L_c,333
M_2agpe181_c,78
M_ttdceap_c,1087
M_pant_DASH_R_c,886
M_ser_DASH_L_p,1014
M_acald_c,249
M_so3_c,1021
M_ins_e,707
M_pg140_p,908
M_ac_c,246
M_cgly_p,379
M_2agpg141_c,84
M_cdpdhdec9eg_c,371
M_eig3p_c,507
M_cd2_p,366
M_moco_c,796
M_pgp180_c,929
M_lipa_cold_e,745
M_dtdp4d6dg_c,488
M_3ig3p_c,171
M_3hhdcoa_c,159
M_cbl1_c,360
M_cytd_p,436
M_fe3hox_p,535
M_feoxam_DASH_un_c,545
M_3ohcoa_c,182
M_dhap_c,466
M_gar_c,578
M_hdcap_c,658
M_pa140_p,873
M_sucarg_c,1029
M_mn2_e,788
M_2agpe180_c,76
M_ocdcea_c,851
M_pe180_p,901
M_cbl1_p,362
M_pyr_c,988
M_so4_e,1023
M_adocbl_c,276
M_pydx5p_c,985
M_uLa4n_p,1098
M_cm_e,396
M_fecrm_p,541
M_1tdecg3p_c,53
M_q8h2_c,992
M_thymd_c,1067
M_etoh_c,517
M_1agpg140_p,34
M_2agpe120_c,66
M_1agpg181_p,39
M_1tdec7eg3p_c,51
M_LalaLglu_c,242
M_crn_p,422
M_h2s_p,650
M_ttrcyc_p,1089
M_2omph_c,129
M_4abutn_c,199
M_clpn120_p,389
M_his_DASH_L_c,669
M_hxa_e,684
M_k_e,718
M_k_p,719
M_moadamp_c,790
M_2ippm_c,114
M_udcpdp_p,1109
M_xan_c,1143
M_ribflv_c,1005
M_mththf_c,805
M_r5p_c,999
M_3hddcoa_c,155
M_ncam_c,829
M_pser_DASH_L_c,979
M_urea_e,1134
M_sufbcd_DASH_4fe4s_c,1042
M_adpglc_c,278
M_2agpe120_p,67
M_camp_c,358
M_pimACP_c,947
M_orn_e,864
M_ugmda_c,1119
M_2dr1p_c,105
M_3hpp_c,167
M_for_p,558
M_2agpg120_p,81
M_btn_c,352
M_ala_DASH_L_e,297
M_iscu_DASH_2fe2s_c,713
M_pe160_c,896
M_thr_DASH_L_c,1061
M_murein3px4p_p,808
M_10fthf_c,0
M_12ppd_DASH_S_e,19
M_crn_DASH_D_p,420
M_adp_c,277
M_1agpg160_p,36
M_2tdec7eg3p_c,135
M_mobd_p,795
M_cgly_e,378
M_dcyt_c,452
M_mptamp_c,800
M_pgp181_c,931
M_s7p_c,1008
M_4ppcys_c,212
M_accoa_c,252
M_r1p_c,998
M_octapb_c,855
M_fe2_c,524
M_xu5p_DASH_D_c,1151
M_15dap_p,25
M_agm_p,284
M_ura_c,1127
M_g6p_c,574
M_uagmda_c,1104
M_so4_c,1022
M_3ooctdACP_c,188
M_ttdcea_c,1085
M_dha_c,463
M_5mta_c,224
M_lac_DASH_L_p,734
M_hdca_p,657
M_mn2_p,789
M_pydam_c,984
M_thmpp_c,1060
M_adphep_DASH_DD_c,279
M_h2o2_c,644
M_34hpp_c,139
M_2agpe181_p,79
M_4abz_c,200
M_novbcn_e,838
M_1ddecg3p_c,40
M_hdcoa_c,662
M_fe3hox_e,534
M_db4p_c,443
M_cdpdhdecg_c,372
M_ggbutal_c,585
M_glu1sa_c,596
M_met_DASH_L_c,775
M_pg120_c,905
M_dscl_c,484
M_2odec11eg3p_c,121
M_3hcvac11eACP_c,153
M_colipap_e,409
M_dcacoa_c,447
