complex_id,index
M_fad_c+M_sufbcd_DASH_4fe4s_c,1931
M_15dap_c+M_h_p+M_lys_DASH_L_p,199
M_1agpe161_p+M_h_p+M_hdcea_p,212
M_adp_c+M_h_c+M_pa161_p+M_pi_c,972
M_acgam6p_c+M_lac_DASH_D_c,813
M_nadp_c+M_palmACP_c,2826
M_2ddecg3p_p,376
M_accoa_c+M_h2o_c+M_oaa_c,792
M_glyc3p_c+M_tdeACP_c,2185
M_g3pe_p+M_h_p+M_ttdca_p,2048
M_glyc3p_p+M_glyc_p+M_h_p,2190
M_ddca_c+M_g3pg_c+M_h_c,1785
M_h2o_c+M_ipdp_c+M_nad_c,2297
M_butACP_c+M_nadp_c,1498
M_12ppd_DASH_S_c+M_nad_c,192
M_atp_c+M_h2o_c+M_pa141_c,1412
M_adp_c+M_g3pe_c+M_h_c+M_pi_c,917
3.0_M_h_p+M_mql8_c+M_nad_c,123
M_gdp_c+M_h_c+M_pi_c,2082
M_murein3p3p_p,2786
M_3ocddec5eACP_c+M_ACP_c+M_co2_c,552
M_murein5p5p_p+M_uaagmda_c,2794
M_3otdcoa_c+M_coa_c,588
M_pg161_c+M_pi_c,2883
M_1odecg3p_p+M_h_p+M_ocdca_p,255
M_fgam_c+M_h_c+M_thf_c,1991
M_ckdo_c+M_kdolipid4_c,1572
M_pi_c+M_pydam_c,2894
M_1agpe160_p+M_h2o_p,209
M_h2o_c+M_nadp_c,2317
4.0_M_h_c+M_iscs_c+M_iscu_DASH_2fe2s_c,130
M_acald_e,777
M_1pyr5c_c+M_fadh2_c+M_h_c,258
M_ser_DASH_L_e,2955
M_h2o_c+M_pa141_c,2332
M_12dgr160_c+M_atp_c,166
M_fecrm_e+M_h_p,1978
2.0_M_h_c+M_ocdcea_c+M_pi_c,86
M_5drib_c,656
M_h_c+M_malACP_c+M_ocACP_c,2483
M_udcpp_c,2990
M_23dhbzs_c+M_h2o_c,276
M_35cgmp_c+M_h2o_c,479
M_glu_DASH_L_c+M_succ_c,2138
4.0_M_h_c+M_nadh_c+M_q8_c,134
M_h_c+2.0_M_pi_c,2448
M_1tdec7eg3p_c+M_tdeACP_c,262
M_3mob_c+M_h2o_c,548
M_2h3oppan_c+M_co2_c,411
M_dhpmp_c+M_h_c+M_ppi_c,1826
M_LalaDgluMdap_p+M_ala_DASH_D_p,738
M_dhap_c+M_h_c+M_nadph_c,1811
M_aspsa_c+M_pyr_c,1293
M_5mtr_c+M_ade_c,663
M_accoa_c+M_h_c+M_malACP_c,793
M_3oodcoa_c+M_coa_c,582
M_3ohdcoa_c+M_h_c+M_nadh_c,571
M_g6p_c+M_glc_DASH_D_c,2067
M_2hdecg3p_p,419
M_atp_c+M_gmhep7p_c,1381
M_gmp_c+M_h_c,2230
M_h2o_c+M_tdec2eACP_c,2374
M_3hodcoa_c+M_nad_c,532
M_but2eACP_c+M_h2o_c,1493
M_ala_DASH_D_c+M_h_c,1096
M_atp_c+M_h2o_c,1389
M_lipidX_c+M_u23ga_c,2734
M_nadp_c+M_ocdcaACP_c,2824
M_3mop_c+M_h2o_c,551
M_fe2_c+M_h_p,1954
M_agm_c+M_h2o_c,1050
M_h_p+M_melib_c,2616
M_3odecACP_c+M_ACP_c+M_co2_c,566
M_adp_c+M_thmpp_c,1033
M_ac_c+M_co2_c+M_q8h2_c,755
M_h_p+M_lys_DASH_L_p,2614
M_3hocoa_c,525
M_glu_DASH_L_c+M_h_c+M_nadh_c,2128
M_ACP_c+M_pa120_c,710
M_cdpdddecg_c+M_glyc3p_c,1528
M_cd2_p+M_h_c,1519
M_2shchc_c+M_pyr_c,468
M_atp_c+M_eca4colipa_p+M_h2o_c,1343
M_nad_c+M_ocACP_c,2805
M_pi_c+M_pydx_c,2895
M_cobalt2_p+M_h_c,1683
M_dhnpt_c,1819
M_h_c+M_ppi_c+M_ump_c,2562
M_atp_c+M_h2o_c+M_pgp141_c,1433
3.0_M_h_c+M_mal_DASH_L_c,118
M_LalaDgluMdapDala_e,725
M_f6p_c+M_g3p_c,1911
M_h2o_p+M_pe161_p,2425
M_3hocoa_c+M_nad_c,526
M_ACP_c+M_atp_c+M_hdca_c,683
M_adp_c+M_fad_c+7.0_M_h_c+M_pi_c+M_sufbcd_DASH_2fe2s2_c+2.0_M_sufse_c,905
M_adp_c+M_h_c+M_man6p_c,956
M_1odecg3p_c+M_h_c+M_pi_c,252
M_zn2_p,3014
M_pg140_p+M_pi_p,2878
M_2dhp_c+M_thf_c,381
M_acald_c+M_h2o_c+M_nad_c,773
M_2obut_c+M_nh4_c,434
M_adp_c+M_crn_c+M_h_c+M_pi_c,882
M_coa_c+M_h_c+M_ocdca_c,1667
M_fad_c+2.0_M_fe2_c+2.0_M_fecrm_DASH_un_c+2.0_M_h_c,1917
M_h_p+M_ni2_c,2622
M_3hcddec5eACP_c,499
M_pg160_c+M_pi_c,2881
M_co2_c+M_coa_c+M_ogmeACP_c,1627
M_3mob_c+M_h2o_c+M_mlthf_c,549
M_atp_c+M_colipap_p+M_h2o_c,1320
M_agm_p+M_co2_p,1054
M_idon_DASH_L_p,2694
M_cdpdddecg_c+M_h2o_c,1529
M_3c3hmp_c,485
M_arg_DASH_L_p+M_h_c,1258
M_12dgr141_c+M_atp_c,161
3.0_M_h_c+2.0_M_na1_p,114
M_2hdec9eg3p_c,413
M_gmp_c+2.0_M_h_c+M_man1p_c,2227
M_h2o_c+M_sl26da_c,2361
M_accoa_c+M_ser_DASH_L_c,800
M_atp_c+M_fadh2_c+2.0_M_fe2_c+M_h2o_c+M_sufbcd_c+2.0_M_sufsesh_c,1347
M_1odecg3p_p+M_h2o_p,254
M_12dgr161_c,170
M_glc_DASH_D_c,2099
M_alac_DASH_S_c+M_h_c+M_nadph_c,1134
2.0_M_h_c+M_nadph_c+M_succ_c,84
M_cddec5eACP_c+M_nad_c,1521
M_h_c+M_octeACP_c+M_pi_c,2549
2.0_M_h_c+M_pi_c+M_ttdcea_c,90
M_h_p+M_na1_c,2621
M_air_c+M_atp_c+M_hco3_c,1064
M_glyc3p_p+M_h_p+M_hdca_p,2191
2.0_M_h_c+M_nadh_c+M_succ_c,82
M_coa_c+M_h_c+M_ocdcea_c,1668
M_2fe1s_c+M_btn_c+M_dad_DASH_5_c+M_h_c+M_met_DASH_L_c,404
M_cmp_c+2.0_M_h_c+M_pa181_c,1602
M_co2_c+M_nadh_c+M_succoa_c,1636
M_h_c+M_lipidAds_c+M_udp_c,2477
M_nh4_c+M_xtp_c,2846
M_ppi_c+M_uacgam_c,2914
M_2oph_c+2.0_M_atp_c+3.0_M_h2o_c+M_nad_c,459
M_atp_c+M_h2o_c+M_pe180_c,1422
M_adp_c+M_fmn_c+M_h_c,915
M_accoa_c+M_btcoa_c,781
2.0_M_h_p+M_mg2_c,95
M_bmocogdp_c+M_ppi_c,1491
M_2odec11eg3p_p+M_ocdcea_p,438
M_5aprbu_c+M_nadp_c,645
M_co2_c+M_nadh_c+M_udpLa4o_c,1637
M_cyst_DASH_L_c+M_h_c+M_succ_c,1735
M_h2o_c+M_nad_c+M_xan_c,2316
M_myrsACP_c+M_nadp_c,2796
M_coa_c+M_ddca_c+M_h_c,1660
M_datp_c+M_h2o_c,1752
M_xan_e,3007
M_atp_c+M_fadh2_c+2.0_M_fe2_c+M_h2o_c+M_sufbcd_DASH_2fe2s_c+2.0_M_sufsesh_c,1346
M_leu_DASH_L_e,2727
M_pi_c+M_rib_DASH_D_c,2897
M_pro_DASH_L_e,2922
M_amp_c+M_h_c+M_ppi_c,1178
M_adp_c+M_h_c+M_pi_c+M_um4p_c,1015
M_csn_c+M_h2o_c+M_h_c,1707
M_hdeACP_c+M_kdo2lipid4_c,2658
M_atp_c+M_h2o_c+M_h_c,1391
M_3ocpalm9eACP_c+M_h_c+M_nadph_c,557
M_adp_c+M_h_c+M_imp_c,944
