 Count  Overhead File                    Line Function
     1         0 …s\src\ordered_dict.jl   449 delete!(h::OrderedCollections.Ord…
     1         0 @COCOA\src\COCOA.jl     1372 test_concordance_optimized(model:…
     1         0 …MP\src\constraints.jl  1037 add_constraint(model::JuMP.Model,…
     1         0 …MP\src\constraints.jl   897 check_belongs_to_model
     1         0 @JuMP\src\aff_expr.jl    742 check_belongs_to_model
     1         1 …s\bridge_optimizer.jl  1195 set(b::MathOptInterface.Bridges.L…
     1         0 @Base\abstractarray.jl  3366 map!
     1         0 @Base\iterators.jl       427 iterate
     1         1 @Base\iterators.jl       437 _zip_iterate_all
     1         0 @Base\dict.jl            267 ht_keyindex2_shorthash!(h::Dict{S…
     1         1 …s\cachingoptimizer.jl   715 delete(m::MathOptInterface.Utilit…
     1         1 …s\cachingoptimizer.jl   355 optimize!(m::MathOptInterface.Uti…
     1         0 @COCOA\src\COCOA.jl     1364 test_concordance_optimized(model:…
     1         0 …4\src\GLib\signals.jl   264 g_yield(data::UInt64)
     1         1 @JuMP\src\aff_expr.jl     81 _build_aff_expr(constant::Float64…
     1         0 …s\src\ordered_dict.jl   460 iterate
     1         0 @COCOA\src\COCOA.jl     1399 test_concordance_optimized(model:…
     1         0 …rc\Utilities\model.jl   201 add_variable
     1         0 …uct_of_constraints.jl    20 _add_variable
     1         1 …uct_of_constraints.jl   293 broadcastcall(f::typeof(MathOptIn…
     1         1 @JuMP\src\variables.jl   474 delete(model::JuMP.Model, variabl…
     1         0 …tor_of_constraints.jl    95 delete
     1         0 …lities\CleverDicts.jl   215 delete!
     1         1 @JuMP\src\aff_expr.jl    722 _assert_isfinite(a::JuMP.AffExpr)
     1         0 …ntainers\container.jl    71 container
     1         0 …ntainers\container.jl    85 container
     1         0 @Base\abstractarray.jl  3399 map
     1         0 …ntainers\container.jl    85 #84
     1         0 …c\Containers\macro.jl   559 #4
     1         0 @COCOA\src\COCOA.jl     1624 streaming_correlation_filter(mode…
     1         1 @Base\dict.jl            685 skip_deleted
     1         1 @COCOA\src\COCOA.jl     1154 update_correlation_tracker!(track…
     1         0 @Base\special\log.jl     197 log_proc2
     1         0 @Base\special\log.jl     193 log_proc2
     1         0 @Base\special\log.jl     287 _log
     1         1 @Base\Base.jl              ? update_correlation_tracker!(track…
     1         0 @COCOA\src\COCOA.jl     1095 correlation_confidence_upper_boun…
     1         0 @COCOA\src\COCOA.jl     1570 #32
     1         0 @COCOA\src\COCOA.jl     1540 streaming_correlation_filter(mode…
     1         0 …intTrees\src\value.jl    85 preduce(op::typeof(+), xs::Base.G…
     1         1 @COCOA\src\COCOA.jl     1590 streaming_correlation_filter(mode…
     1         0 @COCOA\src\COCOA.jl     1025 update!
     1         0 @Base\abstractarray.jl   681 checkbounds
     1         0 @Base\abstractarray.jl   725 checkbounds_indices
     1         1 …s\src\sparsevector.jl  1274 vcat(::LinearAlgebra.Transpose{Fl…
     1         0 @Base\simdloop.jl         78 macro expansion
     1         0 @Base\abstractarray.jl  1166 copyto_axcheck!
     1         0 @Base\abstractarray.jl  1163 _checkaxs(axd::Tuple{Base.OneTo{I…
     1         0 @Base\tuple.jl           547 ==
     1         0 @Base\tuple.jl           551 _eq
     1         0 @Base\range.jl          1121 ==
     1         1 @Base\bitarray.jl         39 BitArray
     1         1 …\src\balanced_tree.jl   549 nextloc0(t::DataStructures.Balanc…
     1         0 …\src\balanced_tree.jl   277 findkey(t::DataStructures.Balance…
     1         1 @Base\int.jl               ? <
     1         0 …\src\balanced_tree.jl   278 findkey(t::DataStructures.Balance…
     1         1 …rc\analysis\sample.jl   106 sample_chain_achr(sample_c::Matri…
     1         1 @Base\bitarray.jl        243 fill_chunks!(Bc::Vector{UInt64}, …
     1         0 @Base\array.jl           940 getindex(A::Vector{Float64}, I::U…
     1         1 @Base\boot.jl              ? Array
     1         0 …\src\balanced_tree.jl   473 insert!(t::DataStructures.Balance…
     1         0 …\src\balanced_tree.jl   322 replaceparent!
     1         1 …\src\balanced_tree.jl    65 TreeNode
     1         1 @Base\bitarray.jl        255 fill_chunks!(Bc::Vector{UInt64}, …
     1         0 …s\src\sparsevector.jl   266 _sparsevector!(I::Vector{Int64}, …
     1         0 …rc\analysis\sample.jl   147 (::COBREXA.var"#tick#26"{Vector{C…
     1         0 @Base\abstractarray.jl   452 first
     1         0 @Base\stream.jl         1110 uv_write_async(s::Base.TTY, p::Pt…
     1         1 @Base\libc.jl            392 malloc
     1         0 @Base\dict.jl            329 _setindex!
     1         1 @Base\dict.jl            280 ht_keyindex2_shorthash!(h::Dict{T…
     1         0 @JuMP\src\aff_expr.jl     84 _build_aff_expr(constant::Float64…
     1         1 @JuMP\src\aff_expr.jl    140 GenericAffExpr
     1         1 @Base\condition.jl       149 notify(c::Base.GenericCondition{R…
     1         0 …bjective_container.jl   181 set
     1         0 …ace\src\attributes.jl   206 check_result_index_bounds
     1         0 @Base\abstractdict.jl    287 mergewith!(combine::typeof(+), d1…
     1         1 …s\src\ordered_dict.jl   456 iterate
     1         1 …s\src\ordered_dict.jl     ? _setindex!(h::OrderedCollections.…
     1         0 …s\cachingoptimizer.jl   200 state
     1         1 …s\cachingoptimizer.jl   902 _throw_if_get_attribute_not_allow…
     1         0 …s\bridge_optimizer.jl  1230 set(b::MathOptInterface.Bridges.L…
     1         0 …lities\CleverDicts.jl   166 getindex(c::MathOptInterface.Util…
     1         1 …tk4\src\GLib\gtype.jl   380 run_delayed_finalizers()
     1         1 none                       ? #47
     1         0 @Base\broadcast.jl       933 copyto!
     1         0 …e\multidimensional.jl  1145 fill!
     1         0 …4\src\GLib\signals.jl   236 g_siginterruptible(f::typeof(yiel…
     1         0 @Base\channels.jl        410 put_unbuffered(c::Channel{Any}, v…
     1         0 @Base\channels.jl        564 unlock
     1         0 @Base\condition.jl        74 unlock
     1         0 @Base\lock.jl            182 (::Base.var"#_unlock#734")(rl::Re…
     1         1 @Base\Base.jl             75 setproperty!
     1         0 @Base\c.jl               180 reenable_sigint
