reaction_id,index
R_EX_cbl1_LPAREN_e_RPAREN__b,741
R_GLUtex_b,1041
R_NDPK7_b,1498
R_GMHEPPA,1087
R_DHAtex_b,586
R_ENTERES2,704
R_ACOAD3f_b,172
R_COBALT2abcpp,483
R_3OAR141,74
R_DGK1_b,581
R_MLTP3_f,1431
R_IDOND_b,1211
R_EX_gly_LPAREN_e_RPAREN_,775
R_PUNP1_f,1820
R_CADVtpp,417
R_AOBUTDs,327
R_D_DASH_LACt2pp_f,641
R_EAR40y,665
R_HEXt2rpp_b,1161
R_LPLIPAL2A141,1319
R_NAt3_2pp,1484
R_EX_cobalt2_LPAREN_e_RPAREN__f,750
R_EX_phe_DASH_L_LPAREN_e_RPAREN_,820
R_SPMS,1923
R_DMQMT,616
R_S4FE4ST,1886
R_LA4NTpp,1267
R_THRS,1962
R_PDE1,1614
R_NADN,1475
R_3OAR80_f,86
R_GLYCLTt4pp,1066
R_EX_ade_LPAREN_e_RPAREN_,727
R_DALAtex_b,561
R_UPP3S,2046
R_EX_pi_LPAREN_e_RPAREN__f,823
R_CYStpp,533
R_NDPK2_b,1488
R_3OAR161,77
R_PRMICI_b,1779
R_TRPtex_b,1998
R_APH120,338
R_2AGPA140tipp,16
R_APG3PAT141,333
R_MDDCP1pp,1370
R_ACMAMUT,167
R_PGPP161,1669
R_PYROX,1841
R_QUIN2tpp_f,1849
R_ECAP2pp,673
R_TYRtex_f,2011
R_URAtex_f,2054
R_2AGPEAT160,32
R_PGSA180,1680
R_OBTFL,1556
R_3HAD180,59
R_PGP160abcpp,1657
R_FA161ACPHi,856
R_PRFGS,1778
R_TRPS2,1994
R_OAADC,1555
R_5MTRtpp,115
R_PRAGSr_f,1772
R_ACACT8r_b,148
R_NDPK4_b,1492
R_NDPK5_b,1494
R_XPPT,2084
R_GLYCTO3,1070
R_PDH,1616
R_RBK,1859
R_GLCP,1008
R_LEUt2rpp_b,1285
R_EX_etoh_LPAREN_e_RPAREN_,762
R_DHDPRy,594
R_PTRCORNt7pp_b,1812
R_URACPAH,2049
R_NADPHQR4,1478
R_RNTR1c2,1873
R_3OAS141,91
R_ALR4x,312
R_FA141ACPHi,854
R_UDCPDPS,2026
R_AICART_f,269
R_PAPA141pp,1602
R_TMDS,1981
R_EX_ile_DASH_L_LPAREN_e_RPAREN_,793
R_MLTP1_f,1427
R_EX_colipa_LPAREN_e_RPAREN_,751
R_G3PGtex_f,972
R_PA181abcpp,1595
R_MCITL2_f,1363
R_DHFS,598
R_MCITD,1361
R_EX_asp_DASH_L_LPAREN_e_RPAREN_,738
R_EX_his_DASH_L_LPAREN_e_RPAREN_,788
R_MDDCP3pp,1372
R_ADK4_b,222
R_HACD7_b,1143
R_GLU5K,1023
R_CO2tex_f,480
R_ATPHs,404
R_MDH3,1380
R_PPC,1752
R_ADMDC,224
R_PRASCSi,1776
R_PUNP5_b,1827
R_ALAALAD,278
R_NTPTP1,1549
R_ACKr_b,163
R_EAR141x,654
R_COLIPAPabctex,489
R_FDH4pp,884
R_GTHRDHpp,1104
R_SGSAD,1907
R_TDP,1942
R_UHGADA,2035
R_UPPDC1,2047
R_PLIPA2G140pp,1731
R_EX_anhgm_LPAREN_e_RPAREN_,735
R_ACSERtex_b,202
R_ACACT5r_f,143
R_EX_gthrd_LPAREN_e_RPAREN_,781
R_FEOXAMR1,920
R_IMPC_b,1227
R_IPPMIa_b,1246
R_EX_feenter_LPAREN_e_RPAREN_,767
R_ICDHyr_b,1202
R_ULA4Ntppi,2037
R_PE160abcpp,1624
R_GUAtpp_b,1121
R_ANHGMtex_b,322
R_PRATPP,1777
R_AKGtex_f,277
R_AOXSr2,328
R_TTRCYCtex_f,2003
R_VPAMTr_b,2076
R_TYRTA_f,2007
R_PPND,1766
R_SPMDtex_f,1922
R_DURIK1,634
R_PLIPA2G120pp,1730
R_PLIPA1E120pp,1702
R_ATPS4rpp_f,408
R_CITtex_b,448
R_Zn2tex_b,2096
R_SERtex_b,1904
R_2AGPEAT140,30
R_DHAD2,584
R_FBA_f,881
R_PLIPA1A161pp,1699
R_URIH,2061
R_LPLIPAL1A141pp,1298
R_NDPK6_b,1496
R_SUCOAS_b,1934
R_MEOHtrpp_b,1391
R_CLPNH181pp,457
R_5DGLCNR_b,106
R_NTD6,1530
R_PAPA180,1607
R_2AGPA161tipp,19
R_PLIPA1G161pp,1713
R_TRPt2rpp_f,1997
R_CLPNH160pp,454
R_12PPDStpp_b,13
R_ALAt2rpp_b,294
R_HPYRI_f,1176
R_CYTBO3_4pp,536
R_ADNt2pp,228
R_DRPA,629
R_GLYCAt2rpp_f,1055
R_PGPP180,1671
R_FE3tex_b,902
R_CYTD,537
R_ETHAt2pp,707
R_FCLT,883
R_PGP120abcpp,1654
R_EX_glc_LPAREN_e_RPAREN__b,771
R_FECRMR3,906
R_THFAT,1951
R_3OAR100_b,67
R_FE3tex_f,903
R_ALCD19_f,300
R_ADNK1,226
R_L_DASH_LACt2rpp_f,1349
R_FACOAE161,863
R_2AGPE181tipp,28
R_ALDD2x,303
R_ASPt2_2pp,394
R_D_DASH_LACtex_b,642
R_NI2tex_f,1509
R_2AGPEAT161,33
R_4PCP,101
R_ABUTtex_f,133
R_ADEt2rpp_f,215
R_ASNtex_f,381
R_3OAR120_b,69
R_3HAD141,56
R_EX_cys_DASH_L_LPAREN_e_RPAREN_,755
R_G3PEabcpp,967
R_GLYCtex_b,1072
R_GLYC3Pt6pp,1051
R_DSERDHr_b,630
R_ICHORS_f,1205
R_HEX7,1160
R_O2tex_f,1552
R_TRE6PS,1989
R_MCOATA_f,1366
R_AIRC2,270
R_3OAS160,92
R_G3PT,973
R_SULRi,1936
R_SHCHCS3,1908
R_PGPP120,1661
R_PLIPA2E141pp,1725
R_DM_MTHTHF,620
R_HXCT,1187
R_IPPMIb_b,1248
R_OMPHHX,1572
R_THZPSN3,1973
R_GLCNt2rpp_b,1004
R_TRSARr_b,2000
R_AGM3Pt2pp,245
R_AMAOTr_f,317
